,Response,Response,Response,Response,Response,Response
Question Key,PGRD1,PGRD2,PGRD3,PGRD4,PGRD5,PGRD6
Participant Private ID,,,,,,
9362250.0,3.0,4.0,2.0,3.0,2.0,3.0
9362255.0,6.0,6.0,7.0,5.0,5.0,5.0
9362285.0,1.0,1.0,1.0,3.0,1.0,1.0
9362297.0,1.0,2.0,1.0,2.0,1.0,1.0
9362305.0,2.0,2.0,1.0,1.0,1.0,1.0
9362320.0,7.0,7.0,6.0,7.0,6.0,7.0
9362321.0,5.0,7.0,4.0,4.0,1.0,6.0
9362323.0,2.0,2.0,1.0,3.0,1.0,1.0
9362324.0,1.0,1.0,1.0,1.0,1.0,1.0
9362325.0,4.0,4.0,4.0,4.0,4.0,4.0
9362326.0,2.0,2.0,2.0,1.0,1.0,1.0
9362328.0,3.0,4.0,3.0,2.0,2.0,3.0
9362329.0,2.0,2.0,1.0,1.0,1.0,1.0
9362330.0,1.0,1.0,1.0,1.0,1.0,1.0
9362331.0,1.0,1.0,1.0,1.0,1.0,1.0
9362332.0,1.0,1.0,1.0,1.0,1.0,1.0
9362333.0,2.0,3.0,1.0,1.0,1.0,1.0
9362334.0,3.0,2.0,2.0,1.0,2.0,2.0
9362335.0,2.0,5.0,2.0,6.0,2.0,6.0
9362336.0,5.0,5.0,4.0,4.0,2.0,5.0
9362337.0,2.0,7.0,2.0,2.0,2.0,6.0
9362339.0,2.0,5.0,1.0,1.0,1.0,7.0
9362340.0,2.0,3.0,3.0,2.0,3.0,3.0
9362341.0,3.0,6.0,3.0,6.0,2.0,6.0
9362342.0,1.0,6.0,1.0,6.0,1.0,6.0
9362343.0,1.0,3.0,1.0,1.0,1.0,3.0
9362345.0,1.0,6.0,1.0,6.0,1.0,6.0
9362346.0,2.0,7.0,1.0,7.0,1.0,7.0
9362347.0,5.0,5.0,6.0,5.0,6.0,5.0
9362349.0,4.0,4.0,4.0,4.0,4.0,4.0
9362350.0,1.0,7.0,1.0,3.0,1.0,7.0
9362352.0,7.0,5.0,5.0,3.0,6.0,3.0
9362354.0,2.0,3.0,6.0,7.0,2.0,6.0
9362356.0,1.0,1.0,1.0,1.0,1.0,1.0
9362360.0,5.0,5.0,3.0,5.0,5.0,4.0
9362738.0,1.0,5.0,2.0,1.0,1.0,5.0
