,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,SDO1,SDO2,SDO3,SDO4,SDO5,SDO6,SDO7,SDO8
Participant Private ID,,,,,,,,
8657248.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657252.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657253.0,6.0,6.0,6.0,7.0,3.0,4.0,6.0,6.0
8657254.0,3.0,2.0,6.0,3.0,2.0,2.0,6.0,6.0
8657258.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0
8657259.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0
8657271.0,6.0,5.0,5.0,5.0,3.0,5.0,6.0,5.0
8657272.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657277.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657304.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657312.0,5.0,5.0,6.0,6.0,6.0,2.0,5.0,6.0
8657352.0,1.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0
8657356.0,2.0,2.0,6.0,6.0,2.0,2.0,6.0,6.0
8657359.0,6.0,5.0,6.0,3.0,5.0,6.0,5.0,6.0
8657361.0,4.0,2.0,6.0,6.0,1.0,2.0,6.0,7.0
8657367.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657370.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0
8657371.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657375.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657378.0,2.0,2.0,6.0,4.0,2.0,2.0,6.0,6.0
8657379.0,1.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0
8657380.0,4.0,4.0,6.0,7.0,2.0,4.0,6.0,7.0
8657383.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657384.0,3.0,3.0,6.0,5.0,3.0,3.0,6.0,7.0
8657388.0,2.0,2.0,7.0,6.0,1.0,4.0,4.0,4.0
8657390.0,1.0,1.0,7.0,6.0,1.0,1.0,6.0,7.0
8657395.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657398.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8657412.0,5.0,6.0,3.0,5.0,3.0,2.0,4.0,5.0
8657418.0,1.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0
8657422.0,3.0,2.0,5.0,5.0,2.0,2.0,5.0,6.0
8657423.0,1.0,1.0,6.0,6.0,4.0,1.0,6.0,6.0
8657437.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657450.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,7.0
8657456.0,7.0,4.0,4.0,6.0,7.0,7.0,1.0,1.0
8657457.0,2.0,1.0,7.0,4.0,3.0,3.0,6.0,6.0
8657477.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657480.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657481.0,5.0,1.0,1.0,2.0,1.0,2.0,7.0,7.0
8657490.0,4.0,2.0,7.0,6.0,1.0,3.0,6.0,7.0
8657493.0,2.0,1.0,7.0,7.0,2.0,1.0,7.0,7.0
8657494.0,4.0,1.0,7.0,7.0,1.0,1.0,5.0,7.0
8657500.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657502.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0
8657505.0,1.0,1.0,7.0,5.0,1.0,1.0,7.0,7.0
8657515.0,1.0,2.0,7.0,7.0,2.0,3.0,6.0,7.0
8657534.0,5.0,1.0,5.0,7.0,1.0,2.0,6.0,7.0
8657536.0,1.0,1.0,6.0,7.0,1.0,1.0,7.0,6.0
8657542.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657544.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657580.0,2.0,2.0,5.0,6.0,1.0,1.0,7.0,7.0
8657594.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0
8657595.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657600.0,1.0,1.0,7.0,5.0,1.0,1.0,5.0,7.0
8657601.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657619.0,6.0,6.0,4.0,3.0,3.0,5.0,3.0,6.0
8657622.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657629.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657631.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657651.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657676.0,2.0,1.0,7.0,7.0,2.0,2.0,7.0,7.0
8657694.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657695.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0
8657698.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657705.0,1.0,1.0,7.0,7.0,2.0,1.0,7.0,7.0
8657722.0,4.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657734.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657746.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657750.0,1.0,1.0,7.0,7.0,2.0,1.0,7.0,7.0
8657791.0,2.0,1.0,7.0,7.0,6.0,1.0,5.0,6.0
8657792.0,2.0,1.0,6.0,6.0,1.0,1.0,6.0,7.0
8657830.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,7.0
8657840.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8657842.0,2.0,4.0,7.0,7.0,5.0,1.0,7.0,7.0
8657862.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,7.0
8657863.0,3.0,6.0,5.0,5.0,2.0,5.0,6.0,5.0
8658002.0,3.0,1.0,7.0,6.0,1.0,1.0,7.0,7.0
8658110.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0
8658536.0,2.0,2.0,7.0,2.0,1.0,1.0,7.0,7.0
8658890.0,1.0,1.0,5.0,7.0,6.0,2.0,6.0,6.0
8660226.0,5.0,5.0,7.0,5.0,3.0,5.0,5.0,5.0
8661009.0,1.0,1.0,6.0,7.0,1.0,2.0,6.0,6.0
8661056.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0
8661072.0,1.0,1.0,7.0,4.0,1.0,1.0,3.0,4.0
8661077.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8661283.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0
8662291.0,2.0,2.0,6.0,2.0,1.0,1.0,6.0,7.0
8662369.0,7.0,7.0,1.0,1.0,1.0,7.0,1.0,2.0
8662873.0,2.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8662933.0,7.0,5.0,2.0,4.0,1.0,6.0,3.0,5.0
8663036.0,1.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0
8663048.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8663169.0,7.0,2.0,2.0,7.0,5.0,7.0,5.0,6.0
8663302.0,2.0,1.0,7.0,6.0,1.0,1.0,7.0,7.0
8663598.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8663950.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8664210.0,2.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8664562.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
8664826.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0
